Feature,Importance
cat__state_INT,0.09288852
num__tcprtt,0.081355476
num__ackdat,0.081114187
cat__state_FIN,0.070006033
num__rate,0.062037742
num__dload,0.053906473
num__synack,0.051806348
num__dmean,0.045867539
num__avg_packet_size,0.038827085
num__smean,0.034895892
cat__service_-,0.032871768
num__byte_ratio,0.025940584
num__ct_src_dport_ltm,0.021874516
num__sbytes,0.021781183
cat__proto_udp,0.021475665
num__total_bytes,0.021207208
num__sload,0.017637332
num__sinpkt,0.017059557
num__bytes_per_second,0.016607748
num__dur,0.015605976
num__stcpb,0.014484884
num__dtcpb,0.014459592
num__dbytes,0.013484833
num__dloss,0.013012007
cat__proto_arp,0.012972008
num__djit,0.011922301
num__dinpkt,0.01070991
num__sjit,0.010612404
num__response_body_len,0.007018527
num__dpkts,0.006766885
num__total_packets,0.006438943
num__trans_depth,0.005754188
num__ct_dst_sport_ltm,0.005639233
num__spkts,0.005007406
cat__service_ftp,0.004327713
num__sloss,0.004274346
num__ct_flw_http_mthd,0.004054062
cat__service_smtp,0.003952876
cat__service_http,0.003760126
cat__state_CON,0.003439506
cat__service_dns,0.002643886
cat__service_ftp-data,0.002133685
cat__proto_igmp,0.001473198
cat__proto_sctp,0.001219651
cat__state_REQ,0.001103943
num__is_ftp_login,0.000638681
num__ct_ftp_cmd,0.000619144
cat__proto_tcp,0.000610039
cat__proto_unas,0.000590083
num__dwin,0.000520407
num__swin,0.000462875
cat__service_pop3,0.000363839
cat__service_ssh,0.000228991
cat__proto_ospf,0.000193955
cat__state_ACC,9.89E-05
cat__service_radius,7.70E-05
cat__service_dhcp,6.98E-05
cat__state_CLO,5.57E-05
cat__state_RST,2.01E-05
num__is_sm_ips_ports,7.89E-06
cat__service_snmp,3.85E-06
cat__proto_ipv6,2.10E-06
cat__service_ssl,1.67E-06
cat__proto_sep,1.61E-06
cat__service_irc,3.93E-07
cat__proto_ippc,9.04E-19
cat__proto_idpr-cmtp,8.14E-19
cat__proto_merit-inp,7.63E-19
cat__proto_wsn,7.63E-19
cat__proto_pipe,6.34E-19
cat__proto_il,6.00E-19
cat__proto_pri-enc,5.95E-19
cat__proto_br-sat-mon,5.72E-19
cat__proto_mobile,5.72E-19
cat__proto_ptp,5.72E-19
cat__proto_egp,5.72E-19
cat__proto_ipv6-opts,5.71E-19
cat__proto_sps,5.70E-19
cat__proto_ipnip,4.39E-19
cat__proto_rdp,4.39E-19
cat__proto_xtp,4.36E-19
cat__proto_chaos,4.32E-19
cat__proto_wb-mon,4.30E-19
cat__proto_isis,3.81E-19
cat__proto_encap,3.81E-19
cat__proto_ipcv,3.81E-19
cat__proto_pim,3.81E-19
cat__proto_bbn-rcc,3.81E-19
cat__proto_rsvp,3.81E-19
cat__proto_crtp,3.81E-19
cat__proto_i-nlsp,3.81E-19
cat__proto_cpnx,3.81E-19
cat__proto_l2tp,3.81E-19
cat__proto_dcn,3.80E-19
cat__proto_dgp,3.80E-19
cat__proto_any,3.80E-19
cat__proto_trunk-2,3.80E-19
cat__proto_pvp,3.55E-19
cat__proto_hmp,3.17E-19
cat__proto_uti,3.13E-19
cat__proto_tp++,2.44E-19
cat__proto_sun-nd,2.09E-19
cat__proto_idpr,2.06E-19
cat__proto_st2,2.06E-19
cat__proto_iatp,1.91E-19
cat__proto_smp,1.91E-19
cat__proto_cftp,1.91E-19
cat__proto_prm,1.91E-19
cat__proto_srp,1.91E-19
cat__proto_wb-expak,1.91E-19
cat__proto_ip,1.91E-19
cat__proto_fc,1.91E-19
cat__proto_zero,1.91E-19
cat__proto_mtp,1.91E-19
cat__proto_sccopmce,1.91E-19
cat__proto_crudp,1.91E-19
cat__proto_eigrp,1.91E-19
cat__proto_irtp,1.91E-19
cat__proto_aes-sp3-d,1.91E-19
cat__proto_skip,1.91E-19
cat__proto_leaf-2,1.91E-19
cat__proto_3pc,1.91E-19
cat__proto_ib,1.91E-19
cat__proto_kryptolan,1.91E-19
cat__proto_ipv6-frag,1.91E-19
cat__proto_sprite-rpc,1.91E-19
cat__proto_ddp,1.91E-19
cat__proto_mux,1.91E-19
cat__proto_ifmp,1.91E-19
cat__proto_nvp,1.91E-19
cat__proto_xns-idp,1.91E-19
cat__proto_vmtp,1.91E-19
cat__proto_nsfnet-igp,1.91E-19
cat__proto_mfe-nsp,1.91E-19
cat__proto_iso-tp4,1.91E-19
cat__proto_igp,1.91E-19
cat__proto_cbt,1.91E-19
cat__proto_ipx-n-ip,1.91E-19
